cm3,kW,km,brand,make,price,year
1968,110,148367,Audi,A4,,2016
1461,61,70500,Renault,Megane,14200,2016
1998,103,311000,Volkswagen,Passat B6,2199,2008
1390,118,169739,Volkswagen,Golf 6,7200,2009
1968,140,174000,Škoda,Superb,20900,2017
1598,77,220000,Volkswagen,Golf 6,2490,2010
1995,135,210000,BMW,320,,2014
1995,140,234620,BMW,520,14500,2015
1950,143,117000,Mercedes Benz,E 220,35900,2018
1798,110,238000,Mitsubishi,ASX,7650,2011
1596,80,186000,Citroen,C2,4600,2007
1997,120,188091,Citroen,C5,4150,2012
1896,77,212000,Audi,A3,4650,2005
1995,140,230000,BMW,520,16500,2015
1598,81,186000,Volkswagen,Golf 7,12350,2016
1461,66,219000,Renault,Clio,6650,2016
1995,90,214000,BMW,320,5990,2006
1997,133,192000,Peugeot,508,14990,2018
1997,133,183000,Peugeot,508,13500,2016
1969,140,87100,Volvo,S60,23500,2017
1498,110,65242,Ford,Kuga,14700,2017
1958,140,152134,Škoda,Superb,20900,2016
1968,85,147000,Audi,A3,19990,2020
1461,80,182000,Mercedes Benz,CLA 180,,2017
1364,66,198800,Opel,Astra H,3550,2005
1398,90,235055,Volkswagen,Golf 6,6889,2009
1968,110,171665,Audi,Q3,22850,2019
1995,140,95000,BMW,520,28900,2017
1499,75,101000,Citroen,DS3,,2019
1598,77,340027,Opel,Astra H,2350,2005
1560,55,156233,Peugeot,208,6750,2017
1997,120,223000,Peugeot,3008,7999,2012
1968,135,227240,Škoda,Octavia,14950,2018
1498,110,95280,Volkswagen,T-Roc,22000,2020
1598,81,238000,Škoda,Octavia,9200,2016
1598,77,281850,Volkswagen,Golf 6,6500,2011
1461,55,65594,Renault,Clio,8900,2016
1998,91,238500,Toyota,Auris,7950,2013
1968,110,260000,Volkswagen,Passat B8,13900,2017
1499,96,156927,Peugeot,3008,19850,2021
1968,130,192116,Volkswagen,Passat B7,9900,2014
1197,63,162000,Škoda,Octavia,11390,2018
1598,96,220405,Nissan,Qashqai,7500,2013
1910,74,225802,Lancia,Musa,2450,2004
1464,48,275000,Renault,Clio,2100,2007
1368,121,193500,Fiat,500,15950,2017
1984,169,226400,Volkswagen,Golf 7,13750,2014
1598,85,141274,Škoda,Karoq,17450,2020
1600,73,238000,Citroen,C4 Cactus,8450,2016
1998,121,25500,Mazda,6,,2020
1499,75,153538,Citroen,C4 Cactus,10999,2018
2143,100,203072,Mercedes Benz,C 200,7995,2011
1870,96,299300,Renault,Scenic,4990,2010
1197,85,162782,Nissan,Juke,11300,2016
1422,66,150055,Škoda,Rapid,7900,2016
1499,100,179850,MINI,Cooper,9400,2015
1242,44,227000,Fiat,Punto,2250,2011
1499,96,63868,Peugeot,3008,16850,2018
1598,88,225000,Škoda,Superb,13899,2016
1497,157,0,Nissan,X-Trail,52790,2023
1388,71,179000,Ford,Fiesta,8650,2017
2191,129,200000,Mazda,6,11500,2015
1968,103,228000,Audi,Q3,13200,2012
1560,85,187000,Peugeot,3008,15400,2017
1968,125,269000,Volkswagen,Golf 6,9350,2010
1560,82,233000,Peugeot,508,6750,2011
2982,127,239000,Toyota,Land Cruiser,16200,2008
1968,81,251000,Volkswagen,Golf 6,6450,2009
1968,110,209000,Audi,Q3,17200,2016
1598,77,189000,Audi,A3,7200,2010
1896,77,210000,Volkswagen,Passat B6,4990,2008
1968,103,244000,Volkswagen,Golf Plus,7650,2011
1598,66,261000,Volkswagen,Golf 6,6250,2010
1199,55,170000,Volkswagen,Polo,5150,2011
1896,66,220460,Volkswagen,Golf 5,3890,2006
1461,85,144565,Mercedes Benz,A 180,19999,2018
1995,120,184500,BMW,320,8990,2011
1995,110,87474,BMW,X2,26950,2018
1496,85,132355,BMW,X1,17200,2018
1968,110,191000,Volkswagen,Passat B8,15800,2017
1461,78,185000,Nissan,Qashqai,6750,2009
2000,111,188000,Volkswagen,Passat B8,19000,2018
1560,82,247887,Peugeot,308,4500,2011
1560,85,196074,Ford,C-Max,4850,2012
1798,118,250207,Škoda,Octavia,4500,2008
1968,105,224869,Audi,A4,8650,2008
1499,75,199056,Citroen,C4 Cactus,,2018
2143,150,300000,Mercedes Benz,E 250,9499,2010
1560,80,217000,Peugeot,308,,2008
1197,87,158000,Renault,Captur,11450,2017
1461,81,176000,Renault,Kadjar,14490,2018
1686,96,171232,Opel,Mokka,10490,2014
1956,125,242000,Opel,Insignia,11300,2015
4367,249,138500,Land Rover,Range Rover Autobiography,82990,2019
2993,183,69500,Land Rover,Range Rover Sport,65990,2020
1999,132,104000,Jaguar,F pace,32990,2019
1998,150,26000,Jaguar,F pace,59990,2022
1998,121,17000,Land Rover,Range Rover Evoque,,2022
,57,17500,Citroen,e-C4,,2021
2993,202,120000,Land Rover,Range Rover Autobiography,,2018
1896,180,29000,Volkswagen,Golf 8,34900,2021
1995,130,280000,BMW,X3,5500,2008
2967,210,38000,Audi,A7,49990,2018
2496,110,340000,Audi,A6,1950,2001
1598,88,156000,Volkswagen,Passat B8,15999,2019
1373,103,183000,Suzuki,Vitara,,2016
1956,121,248000,Opel,Zafira,6800,2012
1968,103,235000,Škoda,Yeti,7890,2010
1395,150,254000,Volkswagen,Golf 7,14900,2015
1968,110,281000,Volkswagen,Golf 7,11400,2013
1390,150,265000,Volkswagen,Golf 7,14900,2014
1395,150,251000,Volkswagen,Golf 7,14900,2015
1598,88,190000,Škoda,Superb,13200,2017
1968,103,261000,Volkswagen,Passat B6,5150,2008
1199,60,207000,Peugeot,208,5650,2012
1598,77,241000,Audi,A3,10690,2013
1910,77,268000,Fiat,Doblo,3750,2008
1999,132,163000,Jaguar,F pace,28800,2017
1560,88,166000,Opel,Grandland X,14490,2018
1395,150,169000,Volkswagen,Golf 7,14690,2014
1388,71,150434,Ford,Fiesta,3850,2009
1149,55,181859,Dacia,Sandero,3300,2011
1422,59,186186,Škoda,Fabia,3700,2010
1248,55,146292,Fiat,Qubo,3500,2009
1596,88,163329,Ford,Fiesta,,2010
1598,88,148862,Citroen,C3 Picasso,,2011
1998,190,11313,BMW,330,39900,2019
1995,135,185097,BMW,320,,2011
1997,66,278000,Peugeot,307,2500,2003
1998,89,246000,Mazda,6,2600,2006
1248,51,145873,Fiat,Punto,2300,2005
1198,51,167069,Volkswagen,Polo,,2011
1598,85,108000,Opel,Astra J,6100,2012
2488,140,197000,Nissan,Navara,11450,2015
